번호,corp_code,fy,기업명,kam_title,kam_type,type_source
1,657987,2024,(주)케이엑스이노베이션,종속기업투자주식 손상평가,종속·관계기업투자 평가,rule
2,223762,2024,(주)케이티지니뮤직,영업권 손상 검사,영업권 손상,rule
3,249441,2020,(주)씨씨에스충북방송,유형자산 전송망설비,유형·비유동자산 손상,llm
4,476498,2020,(주)컴투스,관련하여,영업권 손상,rule
5,397252,2023,(주)조이시티,회사는 충분한 가산할 일시적차이가 있거나 이월세액공제 등이 사용될 수 있는 충분한 미래 과세 소득이 발생할,이연법인세,rule
6,643656,2023,(주)위메이드맥스,이연게임매출의,수익인식,llm
7,349097,2022,(주)케이티스카이라이프,종속기업투자(㈜에이치씨엔)에 대한 회수가능액 검토,종속·관계기업투자 평가,rule
8,444329,2019,(주)위메이드,라이선스 매출의 기간귀속,수익인식,rule
9,1267222,2020,(주)에피소드컴퍼니,영업권 손상평가,영업권 손상,rule
10,1204056,2020,(주)하이브,음반 및 음원 매출,수익인식,llm
11,146427,2023,한주에이알티(주),영업권 손상평가,영업권 손상,rule
12,200275,2024,(주)와이티엔,비유동자산의 손상평가,유형·비유동자산 손상,rule
13,444329,2021,(주)위메이드,상환전환우선주(㈜라이온하트스튜디오) 공정가치 평가,금융상품 공정가치·평가,rule
14,985686,2021,(주)큐브엔터테인먼트,음원매출의 측정,수익인식,llm
15,1335578,2024,(주)애니플러스,"만원 및 12,177백만원입니다(주석 33참조).",영업권 손상,rule
16,130772,2023,(주)SBS,지배기업 현금창출단위 손상(환입) 평가,영업권 손상,rule
17,348034,2022,(주)액토즈소프트,온라인게임매출의 기간귀속,수익인식,rule
18,299464,2022,(주)초록뱀미디어,현금창출단위(영업권 포함)의 손상 평가,영업권 손상,rule
19,1152470,2022,주식회사 펄어비스,Pearl Abyss Iceland ehf. 현금창출단위와 관련한 영업권 손상평가,영업권 손상,rule
20,303794,2021,(주)쇼박스,선급금의 실재성,콘텐츠·제작비 자산,rule
21,203315,2023,(주)콘텐트리중앙,연결회사의 재무제표에 미칠 수 있는 잠재적인 영향이 중요하므로,영업권 손상,rule
22,303794,2024,(주)쇼박스,장기선급금의 손상 평가,콘텐츠·제작비 자산,rule
23,609661,2024,(주)티쓰리엔터테인먼트,중요한 피투자지분 손상평가,종속·관계기업투자 평가,rule
24,1335578,2023,(주)애니플러스,수준 3으로 분류된 금융자산의 공정가치 측정,금융상품 공정가치·평가,rule
25,370006,2021,(주)아이엠비씨,매출 관련 수익의 적정성,수익인식,rule
26,476498,2023,(주)컴투스,영업권과 사업결합으로 취득한 무형자산 손상검사,영업권 손상,rule
27,299464,2019,(주)초록뱀미디어,당기손익공정가치측정금융자산의 취득거래,금융상품 공정가치·평가,rule
28,550082,2023,(주)캔버스엔,드라마제작수익의 기간귀속,수익인식,rule
29,203315,2022,(주)콘텐트리중앙,영업권 손상평가,영업권 손상,rule
30,608699,2020,주식회사 탑코미디어,매출채권의 평가,매출채권·대손,rule
31,301112,2022,(주)삼화네트웍스,고유위험이 높으므로 우리는 드라마 매출 수익인식 적정성,수익인식,rule
32,204642,2019,(주)티비씨,CPS(Cost Per Subscriber)매출,수익인식,rule
33,643656,2024,(주)위메이드맥스,게임 이연수익의 정확성,수익인식,rule
34,1508855,2024,(주)블리츠웨이엔터테인먼트,수익인식기간 귀속의 적정성,수익인식,rule
35,650629,2020,SBS미디어홀딩스(주),주식회사 에스비에스 관계기업투자의 손상평가,종속·관계기업투자 평가,rule
36,260930,2020,(주)에스엠엔터테인먼트,영업권 및 관련된 현금창출단위,영업권 손상,rule
37,303873,2020,씨제이씨지브이(주),파생상품계약의 공정가치 평가,금융상품 공정가치·평가,rule
38,258689,2022,(주)제이와이피엔터테인먼트,금융자산 공정가치 측정에 대한 내부통제의 설계 및 운영의 효과성 평가,금융상품 공정가치·평가,rule
39,260930,2019,(주)에스엠엔터테인먼트,영업권의 손상평가,영업권 손상,rule
40,258689,2022,(주)제이와이피엔터테인먼트,금융자산의 평가,금융상품 공정가치·평가,rule
41,1152470,2020,주식회사 펄어비스,종속기업투자주식(Pearl Abyss Iceland ehf.) 손상평가,종속·관계기업투자 평가,rule
42,983271,2024,엔에이치엔(주),현금창출단위의 회수가능액 측정,영업권 손상,rule
43,203315,2020,(주)콘텐트리중앙,종속기업투자의 손상평가,종속·관계기업투자 평가,rule
44,476498,2019,(주)컴투스,사업결합 회계처리 검토,사업결합,rule
45,1364297,2021,(주)코퍼스코리아,결재무제표감사에 대한 감사인의 책임,콘텐츠·제작비 자산,rule
46,203315,2019,(주)콘텐트리중앙,리스기준서 도입에 따른 효과,리스,rule
47,1168684,2019,스튜디오드래곤(주),해외 콘텐츠 매출인식,수익인식,rule
48,1364297,2020,(주)코퍼스코리아,판권(무형자산)에 대한 손상평가,콘텐츠·제작비 자산,rule
49,364467,2024,(주)드림어스컴퍼니,플랫폼 사업 현금창출단위 영업권 손상평가,영업권 손상,rule
50,259590,2024,(주)바른손이앤에이,"19,693",수익인식,rule
51,260930,2021,(주)에스엠엔터테인먼트,부동산리스 회계처리의 적정성,리스,rule
52,1364297,2021,(주)코퍼스코리아,수익인식의 적정성,수익인식,rule
53,223762,2021,(주)케이티지니뮤직,영업권 손상 검사,영업권 손상,rule
54,299464,2019,(주)초록뱀미디어,수준3으로 분류된 금융자산의 공정가치 측정,금융상품 공정가치·평가,rule
55,397252,2020,(주)조이시티,이연법인세자산의 실현가능성 평가,이연법인세,rule
56,349097,2021,(주)케이티스카이라이프,스카이라이프TV상품,매출채권·대손,llm
57,259590,2022,(주)바른손이앤에이,영업수익의 발생사실 및 기간귀속,수익인식,rule
58,223762,2020,(주)케이티지니뮤직,영업권 손상 검사,영업권 손상,rule
59,965813,2020,(주)미투온,게임매출 수익 인식,수익인식,rule
60,444329,2020,(주)위메이드,라이선스 매출의 기간귀속,수익인식,rule
