corp_code,fy,기업명,군,rcept_no,doc_type,kam_seq,kam_title,reason_text,procedure_text,title_source
00130772,2019,(주)SBS,콘텐츠,20200330002425,연결,1,특수관계자 거래의 발생사실과 표시,"2019 회계연도 중 연결회사의 특수관계자와의 영업수익 및 영업비용은 각각 91,398백만원과 65,211백만원입니다. 이는 연결회사 전체 영업수익 및 영업비용의 약 11%와 8%를 차지하고 있습니다. 우리는 특수관계자와의 유의적인 거래가 재무제표에 미치는 영향에 대하여 관심을 기울였습니다. 따라서 특수관계자와의 거래에 대한 발생사실과 재무제표 표시를 핵심감사사항으로 판단하였습니다. 관련 내용은 연결재무제표주석 30에 표시되어 있습니다.","상기에 언급된 특수관계자로부터의 매출거래와 매입거래의 발생사실 및 재무제표 표시와 관련하여 우리가 수행한 주요 감사절차는 다음을 포함합니다. ㆍ 특수관계자로부터의 매출 및 매입거래와 관련하여 경영진이 수행하는 통제활동에 대하여 이해 및 평가를 수행 ㆍ 특수관계자 수익(실재성) 및 비용(완전성)의 확인을 위해 표본추출방법을 이용하 여 계약서, 세금계산서, 정산서, 입출금증 등의 관련 문서와 대사 수행 ㆍ 특수관계자 거래가 회계처리기준에 따라 적합하게 공시되었는지 검토",subhead
00130772,2020,(주)SBS,콘텐츠,20210318000400,연결,1,현금창출단위 손상 평가,"핵심감사사항은 우리의 전문가적 판단에 따라 당기 연결재무제표감사에서 가장 유의적인 사항들입니다. 해당 사항들은 연결재무제표 전체에 대한 감사의 관점에서 우리의 의견형성 시 다루어졌으며, 우리는 이런 사항에 대하여 별도의 의견을 제공하지는않습니다. (핵심감사사항) 현금창출단위 손상 평가 현금창출단위 손상 평가시 회수가능액은 사용가치를 기초로 결정하며, 사용가치는 자산의 계속적인 사용으로부터 기대되는 미래현금흐름을 할인하여 결정합니다. 현금창출단위에 대하여 결정된 사용가치는 현금흐름할인모형에서 사용된 할인율과 영구성장률과 같은 중요 가정에 많은 영향을 받습니다. 또한 손상평가 과정에서는, 해당 회사의 사업계획 등 경영진의 높은 주관성이 수반되는 것으로 판단됩니다. 따라서 우리는 현금창출단위의 손상 평가시 경영진의 중요한 가정과 추정이 개입되어 회수가능액 측정에 오류가능성이 있는 바, 이를 핵심감사사항으로 결정하였습니다. 현금창출단위 손상 평가와 관련하여 ",우리가 수행한 주요 감사절차는 다음과 같습니다. ㆍ 현금창출단위 손상검토 과정과 관련된 내부통제에 대한 이해 및 평가 ㆍ 경영진(경영진측 전문가 포함)이 현금창출단위 손상차손 검토 시 적용한 방법론의 적합성 및 현금창출단위 결정에 적용된 판단 평가 ㆍ 과거 사업계획 대비 실적검토 등 향후 사업계획의 타당성 점검 ㆍ 감사인측 내부전문가를 활용하여 경영진이 사용한 가정 및 평가방법론 등 적정성 평가 ㆍ 현금창출단위 손상 발생 시 회계처리기준에 따른 손상배부 및 회계처리 점검,paren
00130772,2021,(주)SBS,콘텐츠,20220317001064,연결,1,현금창출단위 손상(환입) 평가,"핵심감사사항은 우리의 전문가적 판단에 따라 당기 연결재무제표감사에서 가장 유의적인 사항들입니다. 해당 사항들은 연결재무제표 전체에 대한 감사의 관점에서 우리의 의견형성 시 다루어졌으며, 우리는 이런 사항에 대하여 별도의 의견을 제공하지는않습니다. (핵심감사사항) 현금창출단위 손상(환입) 평가 현금창출단위 손상(환입) 평가시 회수가능액은 사용가치를 기초로 결정하며, 사용가치는 자산의 계속적인 사용으로부터 기대되는 미래현금흐름을 할인하여 결정합니다.현금창출단위에 대하여 결정된 사용가치는 현금흐름할인모형에서 사용된 할인율과 영구성장률과 같은 중요 가정에 많은 영향을 받습니다. 또한 손상(환입) 평가 과정에서는, 해당 회사의 사업계획 등 경영진의 높은 주관성이 수반되는 것으로 판단됩니다. 따라서 우리는 현금창출단위의 손상(환입) 평가시 경영진의 중요한 가정과 추정이 개입되어 회수가능액 측정에 오류가능성이 있는 바, 이를 핵심감사사항으로 결정하였습니다. 현금창출단위 손상(환입) 평가와 관련하여 ",우리가 수행한 주요 감사절차는 다음과 같습니다. ㆍ 현금창출단위 손상(환입) 검토 과정과 관련된 내부통제에 대한 이해 및 평가 ㆍ 경영진(경영진측 전문가 포함)이 현금창출단위 손상차손(환입) 검토 시 적용한 방법론의 적합성 및 현금창출단위 결정에 적용된 판단 평가 ㆍ 과거 사업계획 대비 실적검토 등 향후 사업계획의 타당성 점검 ㆍ 감사인측 내부전문가를 활용하여 경영진이 사용한 가정 및 평가방법론 등 적정성 평가 ㆍ 현금창출단위 손상차손(환입) 발생 시 회계처리기준에 따른 손상차손(환입) 배부 및 회계처리 점검,paren
00130772,2023,(주)SBS,콘텐츠,20240321001674,연결,1,지배기업 현금창출단위 손상(환입) 평가,"핵심감사사항은 우리의 전문가적 판단에 따라 당기 연결재무제표감사에서 가장 유의 적인 사항들입니다. 해당 사항들은 연결재무제표 전체에 대한 감사의 관점에서 우리의 의견형성 시 다루어졌으며, 우리는 이런 사항에 대하여 별도의 의견을 제공하지는않습니다. 지배기업 현금창출단위 손상(환입) 평가 연결재무제표에 대한 주석 2에서 기술하고 있는 바와 같이, 현금창출단위 손상(환입)평가시 회수가능액은 본질적으로 유의적인 판단이 요구되는 미래의 현금흐름 예측과현재가치할인결과에 기반합니다. 현금창출단위 손상(환입) 회수가능액 평가시 사용되는 가치평가기법 및 적용가정에 경영진의 유의적인 판단과 이에 따른 추정의 불확실성이 존재하며 이에 따라 회수가능액 추정치가 달라질 수 있습니다. 따라서 우리는현금창출단위 손상(환입) 평가를 핵심감사사항으로 선정하였습니다. 이와 관련하여 ",우리가 수행한 주요 감사절차는 다음과 같습니다. - 현금창출단위 손상(환입) 검토 과정과 관련된 내부통제에 대하여 이해하고 설계와 운영의 효과성을 평가 - 현금창출단위의 사용가치 평가를 위해 회사가 고용한 외부전문가의 독립성 및 적격성 평가 - 미래현금흐름 추정과 경영진이 승인한 사업계획 대사 - 감사인측 내부전문가를 활용하여 경영진이 사용한 가정(할인율 및 영구성장율 등) 및 평가방법론 평가 - 손상평가와 관련된 사항에 대한 공시사항의 완전성 검토,lookback
00130772,2024,(주)SBS,콘텐츠,20250320001108,연결,1,지배기업 현금창출단위 손상(환입) 평가,"핵심감사사항은 우리의 전문가적 판단에 따라 당기 연결재무제표감사에서 가장 유의 적인 사항들입니다. 해당 사항들은 연결재무제표 전체에 대한 감사의 관점에서 우리의 의견형성 시 다루어졌으며, 우리는 이런 사항에 대하여 별도의 의견을 제공하지는않습니다. 지배기업 현금창출단위 손상(환입) 평가 연결재무제표에 대한 주석 2에서 기술하고 있는 바와 같이, 현금창출단위 손상(환입)평가시 회수가능액은 본질적으로 유의적인 판단이 요구되는 미래의 현금흐름 예측과현재가치할인결과에 기반합니다. 현금창출단위 손상(환입) 회수가능액 평가시 사용되는 가치평가기법 및 적용가정에 경영진의 유의적인 판단과 이에 따른 추정의 불확실성이 존재하며 이에 따라 회수가능액 추정치가 달라질 수 있습니다. 따라서 우리는현금창출단위 손상(환입) 평가를 핵심감사사항으로 선정하였습니다. 이와 관련하여 ",우리가 수행한 주요 감사절차는 다음과 같습니다. - 현금창출단위 손상(환입) 검토 과정과 관련된 내부통제에 대하여 이해하고 설계와 운영의 효과성을 평가 - 현금창출단위의 사용가치 평가를 위해 회사가 고용한 외부전문가의 독립성 및 적격성 평가 - 미래현금흐름 추정과 경영진이 승인한 사업계획 대사 - 감사인측 내부전문가를 활용하여 경영진이 사용한 가정(할인율 및 영구성장률 등) 및 평가방법론 평가,lookback
00140131,2020,(주)키다리스튜디오,콘텐츠,20210318000957,연결,1,당기말 계상된 선급비용 98억원,"핵심감사사항은 우리의 전문가적 판단에 따라 당기 연결재무제표감사에서 가장 유의적인사항들입니다. 해당 사항들은 연결재무제표 전체에 대한 감사의 관점에서 우리의 의견 형성 시 다루어졌으며, 우리는 이런 사항에 대하여 별도의 의견을 제공하지는 않습니다. 1) 핵심감사사항으로 결정한 이유 연결회사는 웹툰 및 웹소설 서비스 제공을 주요 목적사업으로 영위하고 있으며, 웹툰 및 웹소설 제작을 위하여 관련 비용을 선지급하고 있습니다. 연결회사는 회계기준의 조건을 충족하는 경우에 해당 비용에 대하여 선급비용을 인식하고 있으며, 웹툰서비스 개시 시점부터 유의적인 매출이 회수되는 기간에 걸쳐 비용화 되고 있습니다. 연결회사는 웹툰 서비스의 판매 현황에 대하여 주기적으로 평가를 수행하여 해당 선급비용의 손상여부를 검토하고 있습니다. 당기말 계상된 선급비용 98억원을 핵심감사사항으로 선정하였으며, 이는 회사 총자산의 약 20%를 차지하고 있습니다. 해당 선급비용의 손상여부는 회사의 선급비용 및 매출원가에 영향을 미칩니다. 선급비용의 계상 및 손상평가는 본질적으로 판단사항이고 추정에 따라 선급비용이 과대계상될 위험이 있습니다. 또한, 웹툰서비스 개시 시점부터 유의적인 매출이 회수되는 기간동안 선급비용을 상각하고 있습니다. 회사는 지급된 선급비용에 대해 발생가능한 매출액과 유의적인 매출이 회수될 것으로 기대되는 기간을 추정하고 있으며, 회사의 판단에따라 선급비용 상각비의 금액이 기간별로 왜곡 계상될 위험이 있습니다. 당기중 계상된 선급비용 상각비는 101억원으로 매출원가의 36.1%를 차지하고 있으며, 선급비용 상각비의 정확성은 선급비용 및 매출원가에 영향을 미칩니다. 2) 핵심감사사항이 감사에서 다루어진 방법 당기말 선급비용의 실재성 및 상각비의 정확성을 확인하기 위하여 수행한 ",감사절차는 다음과 같습니다. - 선급비용 계상에 대한 회사의 정책 및 관련 내부통제 검토 - 주요 프로젝트별 담당자 면담 및 외부 자료 확인을 통한 진행 현황 파악 - 추정 매출액의 산출 과정에 대한 이해 및 적용된 가정 검토 - 과거 추정 매출액과 실제 발생 매출액과의 비교 - 상각비의 재계산 검토,decl
00140131,2021,(주)키다리스튜디오,콘텐츠,20220317000876,연결,1,종속기업 현금창출단위 손상평가,"2021년 12월 31일 현재 회사가 계상중인 영업권 금액은 158,146 백만원입니다. 이러한 영업권에 대해서는 자산손상을 시사하는 징후가 있을 때 손상평가를 수행하고 있으며, 회수가능가액(사용가치 또는 처분부대원가를 차감한 공정가치 중 높은 금액)이 장부금액을 미달하는 경우 손상차손을 인식하고 있습니다. 현금창출단위의 사용가치 추정에 중요한 영향을 미치는 매출성장률, 할인율 및 영구성장률 등의 주요 가정의 결정시 경영진의 판단이 개입되며, 경영진의 편향가능성이 존재하는 바, 우리는 종속기업투자주식 손상평가를 핵심감사사항으로 식별하였습니다.",이와 관련하여 우리가 수행한 주요 감사절차는 다음과 같습니다. ㆍ투자주식의 사용가치 평가를 위해 회사가 고용한 외부전문가의 적격성 및 독립성 평가 ㆍ 사용가치 산정시 사용된 주요 가정의 적정성 검토 ㆍ 평가에 사용된 할인율 및 영구성장률에 대한 민감도 분석을 통해 주요 가정의 변 동에 따른 경영진의 평가결과에 미치는 영향 확인,subhead
00140131,2022,(주)키다리스튜디오,콘텐츠,20230316001551,연결,1,영업권 및 비한정내용연수 무형자산 손상평가,"회사는 사업결합으로 취득한 영업권 및 비한정내용연수 무형자산에 대해서 자산손상을 시사하는 징후와 관계없이 매년 회수가능액과 장부금액을 비교하여 손상검토를수행하고 있으며, 2022년 12월 31일 현재 회사는 영업권 154,097백만원을 인식하고있습니다. 영업권 및 비한정내용연수 무형자산 손상검토 시 경영진은 사용가치모형을 사용하여회수가능액을 평가하였습니다. 현금창출단위의 사용가치 결정에는 예상 미래현금흐름의추정을 위한 매출성장률, 인건비, 영구성장률, 그리고 할인율 등과 관련한 경영진 및 감사인의 유의적인 판단을 필요로 합니다. 해당 주요 가정들의 변동이 회사의 영업권 및 비한정 내용연수 무형자산 손상검토에 미치는 잠재적인 영향이 중요하다고 판단되어, 우리는 사업결합에 따라 인식한 영업권 및 내용연수가 비한정인 무형자산손상검토를 핵심감사사항으로 식별하였습니다.","이와 관련하여 우리가 수행한 주요 감사절차는 다음과 같습니다.ㆍ영업권 및 비한정내용연수 무형자산 손상 회계처리 관련 회사의 정책, 프로세스 및 내부통제 이해ㆍ손상검토를 위한 사업계획 추정자료 및 기초변수에 대한 검토 및 승인에 대한 내부통제 평가ㆍ미래 예상 현금흐름을 경영진에 의해 승인된 사업계획과 비교하여 그 합리성을 평가하였으며, 전기에 추정한 현금흐름을 당기의 실적과 비교 검토 수행ㆍ회사의 현금창출단위 판단 및 각 현금창출단위에 배부된 순자산 적절성 검토ㆍ회사가 활용한 외부전문가의 적격성 및 독립성 평가ㆍ평가금액 계산의 정확성 검증 및 민감도 분석을 통한 회수가능액의 적절성 검토",subhead
00140131,2023,(주)키다리스튜디오,콘텐츠,20240318000710,연결,1,영업권 손상검사,"핵심감사사항은 우리의 전문가적 판단에 따라 당기 연결재무제표감사에서 가장 유의적 사항입니다. 해당 사항은 연결재무제표 전체에 대한 감사의 관점에서 우리의 의견형성시 다루어졌으며, 우리는 이런 사항에 대하여 별도의 의견을 제공하지는 않습니다. (1) 영업권 손상검사 연결회사의 영업권은 보고기간말 현재 141,097백만원으로 전체 자산의 40.98%를 차지하고 있습니다. 연결재무제표 주석 2에서 설명한 바와 같이, 연결회사는 매 보고기간말마다 자산손상을 시사하는 징후가 있는지를 검토합니다. 현금창출단위에 대한 손상 징후가 있는 경우, 연결회사는 현금창출단위의 회수가능액과 장부금액을 비교하여 각 개별 평가 항목에 배분된 금액의 감액 여부를 결정합니다. 우리는 현금창출단위의 식별, 사용가치 추정의 복잡성 및 불확실성, 손상검사시 주관적 판단의 개입 가능성을 고려하여 영업권에 대한 손상검사를 핵심감사사항으로 판단하였습니다. 이와 관련하여 ",우리가 수행한 주요감사절차는 다음과 같습니다.ㆍ현금창출단위의 사용가치 추정에 적용된 가치평가 모형의 수학적인 정확성 확인ㆍ미래 현금흐름 추정이 경영진에 보고 승인된 사업계획과 일치하는지 확인ㆍ사용가치 추정에 사용된 주요 가정의 합리성 평가ㆍ적용된 할인율의 적정성을 평가하기 위한 내부의 가치평가전문가 활용,lookback
00140131,2024,(주)키다리스튜디오,콘텐츠,20250319000526,연결,1,영업권 손상검사,"핵심감사사항은 우리의 전문가적 판단에 따라 당기 연결재무제표감사에서 가장 유의적 사항입니다. 해당 사항은 연결재무제표 전체에 대한 감사의 관점에서 우리의 의견형성시 다루어졌으며, 우리는 이런 사항에 대하여 별도의 의견을 제공하지는 않습니다. (1) 영업권 손상검사 연결회사의 영업권은 보고기간말 현재 141,097백만원으로 전체 자산의 42.7%를 차지하고 있습니다. 연결재무제표 주석 2에서 설명한 바와 같이, 연결회사는 매 보고기간말마다 자산손상을 시사하는 징후가 있는지를 검토합니다. 현금창출단위에 대한 손상 징후가 있는 경우, 연결회사는 현금창출단위의 회수가능액과 장부금액을 비교하여 각 개별 평가 항목에 배분된 금액의 감액 여부를 결정합니다. 우리는 현금창출단위의 식별, 사용가치 추정의 복잡성 및 불확실성, 손상검사시 주관적 판단의 개입 가능성을 고려하여 영업권에 대한 손상검사를 핵심감사사항으로 판단하였습니다. 이와 관련하여 ",우리가 수행한 주요감사절차는 다음과 같습니다.ㆍ현금창출단위의 사용가치 추정에 적용된 가치평가 모형의 수학적인 정확성 확인ㆍ미래 현금흐름 추정이 경영진에 보고 승인된 사업계획과 일치하는지 확인ㆍ사용가치 추정에 사용된 주요 가정의 합리성 평가ㆍ적용된 할인율의 적정성을 평가하기 위한 내부의 가치평가전문가 활용,lookback
00145437,2020,주식회사 아센디오,콘텐츠,20210319000869,연결,1,수익인식의 적정성,"핵심감사사항은 우리의 전문가적 판단에 따라 당기 연결재무제표감사에서 가장 유의적인사항들입니다. 해당 사항들은 연결재무제표 전체에 대한 감사의 관점에서 우리의 의견형성 시 다루어졌으며, 우리는 이러한 사항에 대하여 별도의 의견을 제공하지는 않습니다. 아래에 기술된 사항을 이 감사보고서에서 커뮤니케이션할 핵심감사사항으로 결정하였습니다. (1) 수익인식의 적정성 회사의 영화사업, 드라마사업, 매니지먼트사업, 솔루션사업, 공연사업, 방송컨텐츠사업 등을 운영하고 있으며, 각각의 매출 형태별로 수익의 인식과 관련하여서는 고유한 위험이 존재합니다. 이러한 관점에서 수익의 인식과 관련한 기간귀속 및 과대 계상 오류의 가능성이 존재한다고 가정을 하였으며, 이에 따라 수익인식의 적정성을 핵심감사사항으로 판단하였습니다. 이와 관련하여 ","우리가 수행한 주요 감사절차는 다음과 같습니다. ·주요 매출 거래유형의 식별 및 계약서를 통한 회계처리 검토 ·매출수익인식에 관한 인식기준 및 회계처리의 타당성 검토 ·회계기간 중 기록된 매출 거래 중 추출된 표본 매출거래의 실증절차 수행 ·보고기간말 전후의 매출에 대한 증빙과 수익인식시점의 적정성 확인 ·보고기간말 이후에 취소 처리된 매출이 있는지 확인하고, 이에 대해 매출원장에 전기되기까지의 과정을 추적하여 매출의 기간귀속의 적정성 확인",lookback
00145437,2021,주식회사 아센디오,콘텐츠,20220321001153,연결,1,수익인식의 적정성,"핵심감사사항은 우리의 전문가적 판단에 따라 당기 연결재무제표감사에서 가장 유의적인 사항들입니다. 해당 사항들은 연결재무제표 전체에 대한 감사의 관점에서 우리의 의견형성 시 다루어졌으며, 우리는 이러한 사항에 대하여 별도의 의견을 제공하지는 않습니다. 아래에 기술된 사항을 이 감사보고서에서 커뮤니케이션할 핵심감사사항으로 결정하였습니다. (1) 수익인식의 적정성 회사의 영화사업, 드라마사업, 매니지먼트사업, 솔루션사업, 공연사업, 방송컨텐츠사업 등을 운영하고 있으며, 각각의 매출 형태별로 수익의 인식과 관련하여서는 고유한 위험이 존재합니다. 이러한 관점에서 수익의 인식과 관련한 기간귀속 및 과대 계상 오류의 가능성이 존재한다고 가정을 하였으며, 이에 따라 수익인식의 적정성을 핵심감사사항으로 판단하였습니다. 이와 관련하여 ","우리가 수행한 주요 감사절차는 다음과 같습니다. ·주요 매출 거래유형의 식별 및 계약서를 통한 회계처리 검토 ·매출수익인식에 관한 인식기준 및 회계처리의 타당성 검토 ·회계기간 중 기록된 매출 거래 중 추출된 표본 매출거래의 실증절차 수행 ·보고기간말 전후의 매출에 대한 증빙과 수익인식시점의 적정성 확인 ·보고기간말 이후에 취소 처리된 매출이 있는지 확인하고, 이에 대해 매출원장에 전기되기까지의 과정을 추적하여 매출의 기간귀속의 적정성 확인",lookback
