기업명,fy,kam_title,human,machine,구간
(주)씨씨에스충북방송,2020,유형자산 전송망설비,유형·비유동자산 손상,유형·비유동자산 손상,FY2019~2024
(주)컴투스,2020,관련하여,영업권 손상,영업권 손상,FY2019~2024
(주)조이시티,2023,회사는 충분한 가산할 일시적차이가 있거나 이월세액공제 등이 사용될 수 있는 충분한 미래 과세 소득이 발생할,이연법인세,이연법인세,FY2019~2024
(주)위메이드,2019,라이선스 매출의 기간귀속,수익인식,수익인식,FY2019~2024
(주)에피소드컴퍼니,2020,영업권 손상평가,영업권 손상,영업권 손상,FY2019~2024
한주에이알티(주),2023,영업권 손상평가,판단 불가,영업권 손상,FY2019~2024
(주)와이티엔,2024,비유동자산의 손상평가,유형·비유동자산 손상,유형·비유동자산 손상,FY2019~2024
(주)위메이드,2021,상환전환우선주(㈜라이온하트스튜디오) 공정가치 평가,금융상품 공정가치·평가,금융상품 공정가치·평가,FY2019~2024
(주)큐브엔터테인먼트,2021,음원매출의 측정,수익인식,수익인식,FY2019~2024
(주)애니플러스,2024,"만원 및 12,177백만원입니다(주석 33참조).",금융상품 공정가치·평가,영업권 손상,FY2019~2024
(주)SBS,2023,지배기업 현금창출단위 손상(환입) 평가,영업권 손상,영업권 손상,FY2019~2024
(주)액토즈소프트,2022,온라인게임매출의 기간귀속,수익인식,수익인식,FY2019~2024
주식회사 펄어비스,2022,Pearl Abyss Iceland ehf. 현금창출단위와 관련한 영업권 손상평가,영업권 손상,영업권 손상,FY2019~2024
(주)쇼박스,2021,선급금의 실재성,콘텐츠·제작비 자산,콘텐츠·제작비 자산,FY2019~2024
(주)쇼박스,2024,장기선급금의 손상 평가,콘텐츠·제작비 자산,콘텐츠·제작비 자산,FY2019~2024
(주)아이엠비씨,2021,매출 관련 수익의 적정성,수익인식,수익인식,FY2019~2024
(주)초록뱀미디어,2019,당기손익공정가치측정금융자산의 취득거래,금융상품 공정가치·평가,금융상품 공정가치·평가,FY2019~2024
(주)캔버스엔,2023,드라마제작수익의 기간귀속,수익인식,수익인식,FY2019~2024
(주)콘텐트리중앙,2022,영업권 손상평가,영업권 손상,영업권 손상,FY2019~2024
주식회사 탑코미디어,2020,매출채권의 평가,매출채권·대손,매출채권·대손,FY2019~2024
(주)삼화네트웍스,2022,고유위험이 높으므로 우리는 드라마 매출 수익인식 적정성,수익인식,수익인식,FY2019~2024
